"TransactionDate  TransactionID  StoreLocation  ProductCategory  Quantity  UnitPrice  DiscountAmount  TotalSale  PaymentMethod  CustomerAge  CustomerRating  PromotionApplied  WeatherCondition","TransactionDate","TransactionID","StoreLocation","ProductCategory","Quantity","UnitPrice","DiscountAmount","TotalSale","PaymentMethod","CustomerAge","CustomerRating","PromotionApplied","WeatherCondition"
"2024-03-22       TRX-10000      Chicago        Electronics      3         823.45     0.00            2470.35    Credit Card    42           3               False             Sunny","3/22/2024","TRX-10000","Chicago","Electronics","3","823.45","0","2470.35","Credit Card","42","3","","Sunny"
"2024-06-18       TRX-10001      Miami          Clothing         2         118.33     47.33           189.33     Mobile Payment 35           5               True              Cloudy","6/18/2024","TRX-10001","Miami","Clothing","2","118.33","47.33","189.33","Mobile Payment","35","5","1","Cloudy"
"2024-05-03       TRX-10002      New York       Home Goods       1         327.89     0.00            327.89     Cash           29           2               False             Rainy","5/3/2024","TRX-10002","New York","Home Goods","1","327.89","0","327.89","Cash","29","2","","Rainy"
"2024-08-12       TRX-10003      Los Angeles    Groceries        4         52.77      0.00            211.08     Debit Card     53           4               False             Sunny","8/12/2024","TRX-10003","Los Angeles","Groceries","4","52.77","0","211.08","Debit Card","53","4","","Sunny"
"2024-11-29       TRX-10004      Seattle        Beauty           3         88.65      35.46           230.49     Credit Card    61           5               True              Snowy","11/29/2024","TRX-10004","Seattle","Beauty","3","88.65","35.46","230.49","Credit Card","61","5","1","Snowy"
"2024-04-17       TRX-10005      Chicago        Electronics      2         452.30     180.92          723.68     Gift Card      24           5               True              Windy","4/17/2024","TRX-10005","Chicago","Electronics","2","452.3","180.92","723.68","Gift Card","24","5","1","Windy"
"2024-07-31       TRX-10006      New York       Clothing         5         49.99      0.00            249.95     Cash           38           1               False             Rainy","7/31/2024","TRX-10006","New York","Clothing","5","49.99","0","249.95","Cash","38","1","","Rainy"
"2024-09-25       TRX-10007      Miami          Home Goods       1         198.55     0.00            198.55     Mobile Payment 47           3               False             Cloudy","9/25/2024","TRX-10007","Miami","Home Goods","1","198.55","0","198.55","Mobile Payment","47","3","","Cloudy"
"2024-02-14       TRX-10008      Seattle        Groceries        2         87.22      34.89           139.55     Credit Card    59           5               True              Snowy","2/14/2024","TRX-10008","Seattle","Groceries","2","87.22","34.89","139.55","Credit Card","59","5","1","Snowy"
"2024-10-03       TRX-10009      Los Angeles    Beauty           4         37.99      0.00            151.96     Debit Card     31           2               False             Sunny","10/3/2024","TRX-10009","Los Angeles","Beauty","4","37.99","0","151.96","Debit Card","31","2","","Sunny"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
